Frame,Timestamp,ValidPixelsOrig(%),ValidPixelsEnh(%),ValidIncrease(%),HolesOrig,HolesEnh,HolesFilled,MeanDepthOrig,MeanDepthEnh,StdOrig,StdEnh,NoiseReduction(%),EdgeStdOrig,EdgeStdEnh,ProcessingTime(ms),TrackedFeatures,TrackingState
648,1754835697.8153,97.5361,99.6439,2.1077,7569,1094,6475,1.7537,1.9154,0.5779,0.5830,-0.8918,0.8858,0.9140,50.7715,586,OK
650,1754835697.8819,97.0140,99.7012,2.6872,9173,918,8255,1.7567,1.7764,0.5729,0.7067,-23.3643,0.8816,1.0301,47.5429,618,OK
652,1754835697.9153,97.1029,99.6973,2.5944,8900,930,7970,1.7568,1.7548,0.5740,0.2334,59.3458,0.8878,0.1479,50.0862,578,OK
654,1754835697.9819,97.1081,99.5316,2.4235,8884,1439,7445,1.7907,1.7546,0.6284,0.2513,60.0008,0.8921,0.1844,46.0912,580,OK
656,1754835698.0485,96.7464,99.6211,2.8747,9995,1164,8831,1.7756,1.7596,0.5502,0.2401,56.3648,0.8467,0.2559,45.8695,647,OK
658,1754835698.1151,96.8451,99.6051,2.7601,9692,1213,8479,1.7954,1.7568,0.5950,0.2396,59.7309,0.8965,0.2716,45.4260,662,OK
660,1754835698.1818,96.2793,99.5736,3.2943,11430,1310,10120,1.7796,1.7559,0.5813,0.2419,58.3919,0.8912,0.2567,47.3506,654,OK
662,1754835698.2485,96.3122,99.5329,3.2207,11329,1435,9894,1.7817,1.7538,0.5885,0.2420,58.8813,0.8735,0.2097,42.4380,554,OK
664,1754835698.2818,96.0254,99.7129,3.6875,12210,882,11328,1.7842,1.7517,0.5962,0.2436,59.1468,0.8696,0.1264,43.8887,612,OK
666,1754835698.3484,95.8949,99.7809,3.8861,12611,673,11938,1.7982,1.7466,0.6415,0.2447,61.8575,0.9395,0.1098,44.8792,618,OK
668,1754835698.4151,95.3174,99.8503,4.5329,14385,460,13925,1.7842,1.8435,0.6542,0.7635,-16.7154,0.9674,1.1171,52.5518,741,OK
670,1754835698.4817,95.3965,99.9824,4.5859,14142,54,14088,1.7802,1.9558,0.6693,0.9738,-45.4985,1.0181,1.2346,60.4486,684,OK
672,1754835698.5484,94.9941,99.9844,4.9902,15378,48,15330,1.7822,2.1405,0.6485,0.8334,-28.5069,1.0295,1.0842,63.2141,708,OK
674,1754835698.6483,95.1354,99.9987,4.8633,14944,4,14940,1.8005,2.5393,0.6525,1.4088,-115.8979,0.9575,1.4108,65.8748,826,OK
676,1754835698.7150,94.7741,99.9971,5.2230,16054,9,16045,1.8035,2.5020,0.6306,1.0716,-69.9177,0.9815,1.1151,75.2897,841,OK
678,1754835698.8149,94.2464,99.9678,5.7214,17675,99,17576,1.8165,2.5023,0.6440,1.0668,-65.6619,0.9893,1.1212,69.9561,880,OK
680,1754835698.8816,93.8190,99.9590,6.1400,18988,126,18862,1.8288,2.6842,0.6709,1.3163,-96.1880,0.9957,1.2971,69.3046,940,OK
682,1754835698.9815,93.5459,99.8900,6.3441,19825,338,19487,1.8146,1.4063,0.6620,0.3693,44.2090,1.0148,0.3349,80.6406,922,OK
684,1754835699.0815,93.1390,99.8252,6.6862,21077,537,20540,1.8095,1.6985,0.6766,0.5372,20.5998,1.0024,0.5922,82.0398,1025,OK
686,1754835699.1814,93.1800,99.7705,6.5905,20951,705,20246,1.8054,1.5934,0.7636,0.4938,35.3397,1.0809,0.5145,84.2504,1062,OK
688,1754835699.2814,93.1569,99.7165,6.5596,20884,871,20013,1.7936,1.5624,0.7671,0.4809,37.3025,1.1080,0.4910,86.0817,1078,OK
690,1754835699.3814,91.4746,99.6592,8.1846,26152,1047,25105,1.7997,2.0219,0.8135,1.2315,-51.3964,1.1569,1.0568,84.1933,1014,OK
692,1754835699.4815,90.8271,99.5921,8.7650,27955,1253,26702,1.7956,1.9568,0.8178,1.1116,-35.9310,1.1197,0.9656,83.5326,1060,OK
694,1754835699.5815,90.6029,99.4912,8.8884,28733,1563,27170,1.7753,1.9157,0.8780,1.1171,-27.2369,1.1720,0.9872,82.5160,1059,OK
696,1754835699.6482,91.1139,98.1133,6.9994,27298,5796,21502,1.7384,1.3384,0.8308,0.4024,51.5619,1.1090,0.3752,100.9072,1088,OK
698,1754835699.7816,94.3809,99.9398,5.5589,17262,185,17077,1.6491,1.2835,0.7957,0.4308,45.8659,1.0292,0.3847,99.8035,1043,OK
700,1754835699.8817,94.6488,99.9541,5.3053,16439,141,16298,1.5805,1.2788,0.8030,0.4403,45.1620,1.0488,0.3756,98.2164,1111,OK
702,1754835700.0151,95.2451,99.9128,4.6676,14607,268,14339,1.5497,1.2688,0.8343,0.4598,44.8920,1.0173,0.4031,101.6321,1165,OK
704,1754835700.1151,95.0234,99.8792,4.8558,15288,371,14917,1.5376,1.2720,0.8504,0.4669,45.1003,1.0348,0.4128,104.1212,1154,OK
706,1754835700.2485,95.0508,99.8096,4.7588,15204,585,14619,1.5003,1.2717,0.8457,0.4753,43.8001,1.0437,0.4231,100.4589,1158,OK
708,1754835700.3819,95.2985,99.8018,4.5033,14443,609,13834,1.4990,1.2765,0.8703,0.4832,44.4828,1.0363,0.4327,102.1700,1139,OK
710,1754835700.4821,94.6803,99.7363,5.0560,16342,810,15532,1.4786,1.2806,0.8588,0.4889,43.0729,1.0617,0.4424,100.6242,1152,OK
712,1754835700.6158,95.2194,99.7754,4.5560,14686,690,13996,1.4827,1.2868,0.8709,0.4957,43.0806,1.0572,0.4528,98.0095,1164,OK
714,1754835700.7161,94.5602,99.8158,5.2555,16711,566,16145,1.4759,1.2811,0.8359,0.4859,41.8725,1.0488,0.4432,98.1579,1132,OK
716,1754835700.8498,95.2891,99.9603,4.6712,14472,122,14350,1.5520,1.2907,0.8369,0.4673,44.1572,1.0168,0.4193,103.1727,1119,OK
718,1754835700.9500,97.1074,99.9320,2.8245,8886,209,8677,1.5972,1.3101,0.8209,0.4606,43.8926,1.0416,0.4227,104.3884,1091,OK
720,1754835701.0837,96.0824,99.9258,3.8434,12035,228,11807,1.6411,1.2739,0.8285,0.4235,48.8801,1.0893,0.3794,102.2901,1010,OK
722,1754835701.2175,95.3714,99.9642,4.5928,14219,110,14109,1.6968,1.5961,0.8137,0.1666,79.5216,1.0925,0.1195,99.3569,807,OK
724,1754835701.3177,95.3158,99.8021,4.4863,14390,608,13782,1.7514,1.7160,0.7968,0.2595,67.4290,1.0766,0.3985,86.2506,961,OK
726,1754835701.4180,94.9512,99.9206,4.9694,15402,244,15158,1.7655,1.6773,0.8086,0.2468,69.4740,1.1066,0.4589,89.3908,930,OK
728,1754835701.5181,94.3945,99.9281,5.5335,16439,221,16218,1.7749,1.6187,0.7872,0.1512,80.7991,1.0648,0.1271,89.0843,1004,OK
730,1754835701.6184,94.3197,99.9287,5.6091,16793,213,16580,1.8161,1.6345,0.7714,0.1507,80.4660,1.1399,0.1265,90.1605,958,OK
732,1754835701.7521,93.7839,99.6976,5.9137,18713,851,17862,1.9052,1.6310,0.7634,0.1960,74.3269,1.1618,0.2735,88.2379,899,OK
734,1754835701.8524,95.0436,99.5270,4.4834,15079,1308,13771,1.9834,1.6382,0.8521,0.3228,62.1181,1.1613,0.5010,93.2510,967,OK
736,1754835701.9527,94.9509,99.5706,4.6198,15511,1319,14192,1.9750,1.6354,0.7721,0.2588,66.4766,1.0991,0.3887,91.1426,976,OK
738,1754835702.0531,95.3682,99.5303,4.1621,14229,1443,12786,2.0108,1.6430,0.7752,0.2694,65.2452,1.0896,0.4106,90.8573,962,OK
740,1754835702.1534,95.3005,99.3402,4.0397,14437,2027,12410,2.0210,1.6474,0.7595,0.2674,64.7913,1.0788,0.4052,91.9605,888,OK
742,1754835702.2872,95.9378,98.7601,2.8223,12479,3809,8670,2.0655,1.7437,0.7253,0.2653,63.4258,1.0200,0.4022,93.1203,890,OK
744,1754835702.3875,96.1654,98.8219,2.6566,11780,3619,8161,2.0747,1.6492,0.6921,0.2348,66.0793,0.9749,0.2780,95.3745,910,OK
746,1754835702.4879,95.3324,98.1178,2.7855,14339,5782,8557,2.1269,1.7053,0.6960,0.2760,60.3433,0.9587,0.1043,90.3125,910,OK
748,1754835702.5880,94.9326,98.0267,3.0941,15567,6062,9505,2.1566,1.6518,0.6793,0.2299,66.1526,0.9668,0.1035,88.4569,927,OK
750,1754835702.6881,93.3721,97.8229,4.4508,20361,6688,13673,2.2201,1.7883,0.7088,0.2979,57.9715,0.9551,0.2552,91.0890,949,OK
752,1754835702.8216,91.2008,98.3548,7.1540,27031,5054,21977,2.3291,1.9402,0.6994,0.4107,41.2786,0.9346,0.1905,105.1347,1049,OK
754,1754835702.9218,91.6702,98.8711,7.2009,25589,3468,22121,2.3333,1.8247,0.7097,0.4666,34.2504,0.9194,0.0902,94.7922,983,OK
756,1754835703.0553,92.3324,99.1338,6.8014,23555,2661,20894,2.2808,1.8160,0.7098,0.5689,19.8446,0.8813,0.3302,88.6721,968,OK
758,1754835703.1554,92.7923,99.2594,6.4671,22142,2275,19867,2.2763,1.8065,0.7179,0.5919,17.5500,0.8425,0.2984,98.6990,947,OK
760,1754835703.2555,93.2008,99.2939,6.0931,20887,2169,18718,2.2306,1.7938,0.7060,0.5957,15.6172,0.8043,0.2832,96.3556,959,OK
762,1754835703.3557,93.1380,99.2178,6.0798,21080,2403,18677,2.2462,1.8227,0.7031,0.5931,15.6372,0.7966,0.2805,99.0825,941,OK
764,1754835703.4892,93.2627,99.2012,5.9385,20697,2454,18243,2.2627,1.9107,0.6925,0.5817,15.9920,0.7554,0.3132,94.5697,945,OK
766,1754835703.5893,93.5342,99.4574,5.9232,19863,1667,18196,2.2541,1.9171,0.6892,0.5871,14.8164,0.6903,0.3480,101.4643,926,OK
768,1754835703.7228,94.6940,99.8197,5.1256,16300,554,15746,2.2449,2.2314,0.6982,0.5706,18.2739,0.6884,0.5028,101.0026,1022,OK
770,1754835703.8229,93.7757,99.5430,5.7673,19121,1404,17717,2.2555,2.9472,0.7185,0.5489,23.6150,0.7297,0.3410,86.4382,1020,OK
772,1754835703.9231,92.5485,99.4333,6.8848,22891,1741,21150,2.2820,2.9607,0.7246,0.5352,26.1409,0.8102,0.1912,84.9445,986,OK
774,1754835704.0232,92.5954,99.6615,7.0661,22747,1040,21707,2.3679,2.7360,0.7105,0.4094,42.3796,0.8269,0.3936,87.0845,927,OK
